League	Year	GameDate	GameID	BoxScoreURL	PlayByPlayURL	HomeNameFull	HomeName3	AwayNameFull	AwayName3	HaveBoxScore	HavePlayByPlay	AnalyzedPlayByPlay
NBA	2011-2012	2011-12-25	20111225BOSNYK	http://www.nba.com/games/20111225/BOSNYK/boxscore.html	http://www.nba.com/games/20111225/BOSNYK/gameinfo.html	New York Knicks	NYK	Boston Celtics	BOS	NULL	2011-12-25 23:55:59	2011-12-25 23:55:59
NBA	2011-2012	2011-12-25	20111225CHILAL	http://www.nba.com/games/20111225/CHILAL/boxscore.html	http://www.nba.com/games/20111225/CHILAL/gameinfo.html	Los Angeles Lakers	LAL	Chicago Bulls	CHI	NULL	2011-12-26 00:06:35	2011-12-26 00:06:35
NBA	2011-2012	2011-12-25	20111225LACGSW	http://www.nba.com/games/20111225/LACGSW/boxscore.html	http://www.nba.com/games/20111225/LACGSW/gameinfo.html	Golden State Warriors	GSW	Los Angeles Clippers	LAC	NULL	2011-12-26 21:08:54	2011-12-26 21:08:54
NBA	2011-2012	2011-12-25	20111225MIADAL	http://www.nba.com/games/20111225/MIADAL/boxscore.html	http://www.nba.com/games/20111225/MIADAL/gameinfo.html	Dallas Maverics	DAL	Miami Heat	MIA	NULL	2011-12-26 00:09:20	2011-12-26 00:09:20
NBA	2011-2012	2011-12-25	20111225ORLOKC	http://www.nba.com/games/20111225/ORLOKC/boxscore.html	http://www.nba.com/games/20111225/ORLOKC/gameinfo.html	Oklahoma City Thunder	OKC	Orlando Magic	ORL	NULL	2011-12-26 00:13:53	2011-12-26 00:13:53
NBA	2011-2012	2011-12-26	20111226CHIGSW	http://www.nba.com/games/20111226/CHIGSW/boxscore.html	http://www.nba.com/games/20111226/CHIGSW/gameinfo.html	Golden State Warriors	GSW	Chicago Bulls	CHI	NULL	2011-12-27 21:39:56	2011-12-27 21:39:56
NBA	2011-2012	2011-12-26	20111226DENDAL	http://www.nba.com/games/20111226/DENDAL/boxscore.html	http://www.nba.com/games/20111226/DENDAL/gameinfo.html	Dallas Maverics	DAL	Denver Nuggets	DEN	NULL	2011-12-26 23:46:45	2011-12-26 23:46:45
NBA	2011-2012	2011-12-26	20111226DETIND	http://www.nba.com/games/20111226/DETIND/boxscore.html	http://www.nba.com/games/20111226/DETIND/gameinfo.html	Indianapolis Pacers	IND	Detroit Pistons	DET	NULL	2011-12-26 22:11:18	2011-12-26 22:11:18
NBA	2011-2012	2011-12-26	20111226HOUORL	http://www.nba.com/games/20111226/HOUORL/boxscore.html	http://www.nba.com/games/20111226/HOUORL/gameinfo.html	Orlando Magic	ORL	Houston Rockets	HOU	NULL	2011-12-26 23:02:25	2011-12-26 23:02:25
NBA	2011-2012	2011-12-26	20111226LALSAC	http://www.nba.com/games/20111226/LALSAC/boxscore.html	http://www.nba.com/games/20111226/LALSAC/gameinfo.html	Sacramento Kings	SAC	Los Angeles Lakers	LAL	NULL	2011-12-27 21:43:57	2011-12-27 21:43:57
NBA	2011-2012	2011-12-26	20111226MEMSAS	http://www.nba.com/games/20111226/MEMSAS/boxscore.html	http://www.nba.com/games/20111226/MEMSAS/gameinfo.html	San Antonio Spurs	SAS	Memphis Grizzlies	MEM	NULL	2011-12-26 23:47:17	2011-12-26 23:47:17
NBA	2011-2012	2011-12-26	20111226MILCHA	http://www.nba.com/games/20111226/MILCHA/boxscore.html	http://www.nba.com/games/20111226/MILCHA/gameinfo.html	Charlotte Bobcats	CHA	Milwaukee Bucks	MIL	NULL	2011-12-26 23:03:45	2011-12-26 23:03:45
NBA	2011-2012	2011-12-26	20111226NJNWAS	http://www.nba.com/games/20111226/NJNWAS/boxscore.html	http://www.nba.com/games/20111226/NJNWAS/gameinfo.html	Washington Wizards	WAS	New Jersey Nets	NJN	NULL	2011-12-27 22:03:47	2011-12-27 22:03:47
NBA	2011-2012	2011-12-26	20111226NOHPHX	http://www.nba.com/games/20111226/NOHPHX/boxscore.html	http://www.nba.com/games/20111226/NOHPHX/gameinfo.html	Phoenix Suns	PHX	New Orleans Hornets	NOH	NULL	2011-12-26 23:50:56	2011-12-26 23:50:56
NBA	2011-2012	2011-12-26	20111226OKCMIN	http://www.nba.com/games/20111226/OKCMIN/boxscore.html	http://www.nba.com/games/20111226/OKCMIN/gameinfo.html	Minnesota Timberwolves	MIN	Oklahoma City Thunder	OKC	NULL	2011-12-26 23:47:33	2011-12-26 23:47:33
NBA	2011-2012	2011-12-26	20111226PHIPOR	http://www.nba.com/games/20111226/PHIPOR/boxscore.html	http://www.nba.com/games/20111226/PHIPOR/gameinfo.html	Portland Trailblazers	POR	Philadelphia 76ers	PHI	NULL	2011-12-27 22:40:14	2011-12-27 22:40:14
NBA	2011-2012	2011-12-26	20111226TORCLE	http://www.nba.com/games/20111226/TORCLE/boxscore.html	http://www.nba.com/games/20111226/TORCLE/gameinfo.html	Cleveland Cavaliers	CLE	Toronto Raptors	TOR	NULL	2011-12-27 22:37:07	2011-12-27 22:37:07
NBA	2011-2012	2011-12-27	20111227ATLNJN	http://www.nba.com/games/20111227/ATLNJN/boxscore.html	http://www.nba.com/games/20111227/ATLNJN/gameinfo.html	New Jersey Nets	NJN	Atlanta Hawks	ATL	NULL	2011-12-28 22:27:35	2011-12-28 22:27:35
NBA	2011-2012	2011-12-27	20111227BOSMIA	http://www.nba.com/games/20111227/BOSMIA/boxscore.html	http://www.nba.com/games/20111227/BOSMIA/gameinfo.html	Miami Heat	MIA	Boston Celtics	BOS	NULL	2011-12-28 21:58:16	2011-12-28 21:58:16
NBA	2011-2012	2011-12-27	20111227MINMIL	http://www.nba.com/games/20111227/MINMIL/boxscore.html	http://www.nba.com/games/20111227/MINMIL/gameinfo.html	Milwaukee Bucks	MIL	Minnesota Timberwolves	MIN	NULL	2011-12-28 22:04:20	2011-12-28 22:04:20
NBA	2011-2012	2011-12-27	20111227SACPOR	http://www.nba.com/games/20111227/SACPOR/boxscore.html	http://www.nba.com/games/20111227/SACPOR/gameinfo.html	Portland Trailblazers	POR	Sacramento Kings	SAC	NULL	2011-12-28 22:23:56	2011-12-28 22:23:56
